Gene	signal_to_noise_ratio
RPL24	-0.2973355825558171
SIN3B	-0.29730141987921693
NFIB	-0.29727062635661283
218517_at	-0.2968919768023918
SP4	-0.2967166662021029
ZNF230	-0.29664641082001486
SEPX1	-0.2964050539919223
HSPC142	-0.29636450329424985
ARID3A	-0.29632064778941625
ZNF443	-0.2962926302186963
208200_at	-0.2962640407294671
TAS2R10	-0.29617816955294884
215547_at	-0.2961092635831893
THOC1	-0.2960456029595109
PSMB10	-0.29586421347537634
NXF2	-0.2957230230896106
FOXI1	-0.2957204411620227
C21orf33	-0.29568999513230154
212939_at	-0.2952365859366154
ATP6V0E	-0.29518332056172103
MRPL16	-0.29517153738142055
LMO2	-0.295113724372881
RBM28	-0.2950241194676674
N2N	-0.2948456924323753
EIF1AX	-0.29478568028687635
CCL18	-0.29476683755788113
KIR2DL5	-0.29465499310624205
RPS25	-0.29462659988206535
FLJ23469	-0.29459453358057514
PABPC1	-0.2943802669249349
BNC2	-0.29436935442102974
206962_x_at	-0.2942582056609788
ETV6	-0.29420520263771865
CLK1	-0.29417244917057134
CKAP4	-0.2940980505946545
HOXA3	-0.29402446547988714
ATP6V1D	-0.2939982708444221
SPATA1	-0.2938620040843639
LOXL1	-0.2937557840435028
215770_at	-0.2937096656086316
SH2D4A	-0.29370655123468087
PRG1	-0.29358230988512246
SRPRB	-0.2935005995378815
SNRPD1	-0.29348670613832245
RPL7A	-0.29331044994679273
CD48	-0.29329314186630107
216132_at	-0.2930906634428861
221996_s_at	-0.2930000626280125
LOC51336	-0.2928882079997233
ANKRA2	-0.292845984881258
WFDC1	-0.29280544823975496
TEX10	-0.2927692106154146
BZW2	-0.29274679235402
POLR1D	-0.29268056064640047
PCDHGA10	-0.29259354945153665
RIN2	-0.29254286046018196
NET1	-0.2924370737117851
GPT	-0.2924027223313456
ECHS1	-0.2924020204634659
206903_at	-0.2923619031349845
MPG	-0.2923003067696102
214759_at	-0.29222071576527725
216342_x_at	-0.2920578699085211
220228_at	-0.29196106528962384
ETHE1	-0.29178784654980067
KIAA1985	-0.2917787077928316
MTVR1	-0.2917729333391657
CHRNA2	-0.2914149279163274
FLJ13646	-0.29140942934316083
DCTN3	-0.29138476904645827
HSPC138	-0.29125356996855317
NOC4	-0.2911575705283109
MAX	-0.29109736964655886
VILL	-0.2908067022098501
TENC1	-0.290652508689593
PPFIBP1	-0.2904617021991542
S100A4	-0.2904272313161054
GRK4	-0.29029268844906997
PTMA	-0.29024504926235384
215303_at	-0.2902268168469882
222073_at	-0.2899205360731023
CREM	-0.2895786578729851
APTX	-0.2892301887813339
NDUFA10	-0.28919874866336254
GALNT6	-0.28916785096316167
FTH1	-0.28896141655832125
PIP5K1B	-0.2889559661432214
NBS1	-0.2889496749313111
SEC13L1	-0.2888335719422453
SCHIP1	-0.28876909119648475
213156_at	-0.2887493389624869
HCG2P7	-0.2886383991490789
